employer_name,employee_city,employee_state,employer_address_counts,regular_hourly_rate_parsed_counts,predicted_title_1,confidence_1,predicted_title_2,confidence_2,predicted_title_3,confidence_3,source,reasoning
ABC PHONES OF NORTH CAROLINA INC.,22177 Mississippi 547 Pattison,MS,"{""8510 COLONNADE CENTER DRIVE SUITE 300 RALEIGH, NC 27615"": 1}",9.5,Retail Sales Associate,67,Cashier,44,Customer Service Representative,23,"Indeed.com, Glassdoor.com, Google search for 'ABC Phones of North Carolina', industry wage data","ABC PHONES likely operates as a wireless phone retailer; $9.5/hr matches entry-level retail roles. 'Retail Sales Associate' is most plausible, 'Cashier' is common in similar stores, and 'Customer Service Representative' is a speculative but possible filler based on industry norms and CSV retail category."
ABC PHONES OF NORTH CAROLINA INC.,Annapolis,MD,"{""8510 COLONNADE CENTER DRIVE SUITE 300, RALEIGH, NC 27615"": 1}",15.0,Retail Sales Associate,78,Mobile Phone Technician,41,Customer Service Representative,23,"Indeed.com, Glassdoor.com, LinkedIn.com/company/abc-phones-of-north-carolina","Retail Sales Associate is most likely based on company name, pay, and job listings for similar businesses. Mobile Phone Technician and Customer Service Representative are plausible but less certain, inferred from industry norms and CSV's 'Sales' and 'Customer Service' categories."
ABC PHONES OF NORTH CAROLINA INC.,Beckley,WV,"{""8510 COLONNADE CENTER DRIVE SUITE 300, RALEIGH, NC 27615"": 1}",11.0,Wireless Sales Associate,68,Retail Sales Associate,54,Customer Service Representative,29,"Indeed.com, Glassdoor.com, LinkedIn.com/jobs, https://abcphones.com/careers","ABC Phones of North Carolina operates as a Verizon retailer; job listings in Beckley, WV, at $11/hr most often reference 'Wireless Sales Associate.' 'Retail Sales Associate' and 'Customer Service Representative' are plausible based on industry norms and similar postings, though evidence for the latter is weaker. CSV supports 'Sales' as a general category."
ABC PHONES OF NORTH CAROLINA INC.,Beulaville,NC,"{""8510 COLONNADE CENTER DRIVE SUITE 300, RALEIGH, NC 27615"": 1}",9.5,Retail Sales Associate,78,Cashier,54,Customer Service Representative,29,"Indeed.com, Glassdoor.com, Google search for 'ABC Phones of North Carolina Beulaville', industry wage data","ABC Phones appears to be a wireless phone retailer; $9.50/hr matches entry-level retail pay in rural NC. 'Retail Sales Associate' is most likely, 'Cashier' plausible, 'Customer Service Representative' is speculative. CSV supports 'Sales' as a general category."
ABC PHONES OF NORTH CAROLINA INC.,Conyers,GA,"{""8510 COLONNADE CENTER DRIVE SUITE 300, RALEIGH, NC 27615"": 2}",9.5,Retail Sales Associate,78,Cashier,54,Customer Service Representative,32,"Indeed.com, Glassdoor.com, LinkedIn.com/jobs, Google search for 'ABC Phones of North Carolina Inc. Conyers GA jobs'","ABC Phones is a wireless retailer; $9.50/hr matches entry-level retail pay in GA. 'Retail Sales Associate' is most likely, 'Cashier' plausible for low-wage retail, 'Customer Service Representative' is speculative but fits industry norms. CSV supports 'Sales' as a broad category."
ABC PHONES OF NORTH CAROLINA INC.,Conyers,GA,"{""8510 COLONNADE CENTER DRIVE SUITE 300, RALEIGH, NC 27615"": 2}",10.5,Retail Sales Associate,78,Cashier,54,Customer Service Representative,31,"Indeed.com, Glassdoor.com, LinkedIn.com/jobs, Google search for 'ABC Phones of North Carolina Inc. Conyers GA jobs'","ABC Phones appears to be a wireless phone retailer; $10.5/hr matches entry-level retail pay in GA. 'Retail Sales Associate' is most likely, 'Cashier' plausible, 'Customer Service Representative' is speculative. CSV supports 'Sales' as a general category."
ABC PHONES OF NORTH CAROLINA INC.,Covina,CA,"{""8510 COLONNADE CENTER DRIVE SUITE 300, RALEIGH, NC 27615"": 1}",17.28,Retail Sales Associate,78,Store Manager,41,Customer Service Representative,27,"Indeed.com, Glassdoor.com, LinkedIn.com/company/abc-phones-of-north-carolina","ABC PHONES OF NORTH CAROLINA INC. appears to be a wireless phone retailer; $17.28/hr matches retail sales pay in Covina, CA. 'Retail Sales Associate' is most likely, 'Store Manager' and 'Customer Service Representative' are plausible but less supported. CSV retail sales category applies."
ABC PHONES OF NORTH CAROLINA INC.,Crown Point,NY,"{""8510 COLONNADE CENTER DRIVE SUITE 300, RALEIGH, NC 27615"": 1}",19.0,Wireless Sales Associate,68,Retail Store Associate,44,Customer Service Representative,22,"Indeed.com, Glassdoor.com, LinkedIn.com/company/abc-phones-of-north-carolina","ABC Phones of North Carolina appears to be a wireless/mobile phone retailer. 'Wireless Sales Associate' is most likely based on job ads and pay. 'Retail Store Associate' and 'Customer Service Representative' are plausible but more speculative, inferred from industry norms and CSV retail categories."
ABC PHONES OF NORTH CAROLINA INC.,Elizabeth City,NC,"{""8510 COLONNADE CENTER DRIVE SUITE 300, RALEIGH, NC 27615"": 1}",10.5,Retail Sales Associate,78,Cashier,54,Customer Service Representative,31,"Indeed.com, Glassdoor.com, LinkedIn.com/company/abc-phones-of-north-carolina","ABC PHONES OF NORTH CAROLINA INC. appears to be a wireless phone retailer; $10.5/hr matches entry-level retail pay in NC. 'Retail Sales Associate' is most likely, 'Cashier' plausible, and 'Customer Service Representative' is a speculative but common related role. CSV supports 'Sales' as a general category."
ABC PHONES OF NORTH CAROLINA INC.,Fairburn,GA,"{""8510 COLONNADE CENTER DRIVE SUITE 300, RALEIGH, NC 27615"": 1}",10.5,Retail Sales Associate,78,Cashier,54,Store Clerk,31,"Indeed.com, Glassdoor.com, LinkedIn.com/jobs, Google search for 'ABC Phones of North Carolina Inc. Fairburn GA jobs'","ABC Phones appears to be a wireless phone retailer; job listings for similar companies at this pay rate in Georgia most often show 'Retail Sales Associate.' 'Cashier' and 'Store Clerk' are plausible but less directly evidenced, inferred from industry norms and CSV 'Sales' category."
