employer_name,employee_city,employee_state,regular_hourly_rate_parsed_counts
ABC PHONES OF NORTH CAROLINA INC.,Show Low,AZ,"{""14.35"": 1}"
ABC PHONES OF NORTH CAROLINA INC.,Covina,CA,"{""17.28"": 1}"
ABC PHONES OF NORTH CAROLINA INC.,Palmdale,CA,"{""16.9"": 1}"
ABC PHONES OF NORTH CAROLINA INC.,Stockton,CA,"{""16.0"": 1}"
ABC PHONES OF NORTH CAROLINA INC.,Conyers,GA,"{""9.5"": 1, ""10.5"": 1}"
ABC PHONES OF NORTH CAROLINA INC.,Fairburn,GA,"{""10.5"": 1}"
ABC PHONES OF NORTH CAROLINA INC.,Annapolis,MD,"{""15.0"": 1}"
ABC PHONES OF NORTH CAROLINA INC.,22177 Mississippi 547 Pattison,MS,"{""9.5"": 1}"
ABC PHONES OF NORTH CAROLINA INC.,Hamilton,MT,"{""10.3"": 1}"
ABC PHONES OF NORTH CAROLINA INC.,Beulaville,NC,"{""9.5"": 1}"
ABC PHONES OF NORTH CAROLINA INC.,Elizabeth City,NC,"{""10.5"": 1}"
ABC PHONES OF NORTH CAROLINA INC.,Siler City,NC,"{""8.5"": 1}"
ABC PHONES OF NORTH CAROLINA INC.,Crown Point,NY,"{""19.0"": 1}"
ABC PHONES OF NORTH CAROLINA INC.,Newark,NY,"{""2305.88"": 1}"
ABC PHONES OF NORTH CAROLINA INC.,Liberty Center,OH,"{""10.45"": 1}"
ABC PHONES OF NORTH CAROLINA INC.,Philadelphia,PA,"{""10.15"": 1}"
ABC PHONES OF NORTH CAROLINA INC.,Beckley,WV,"{""11.0"": 1}"
AMAZON.COM SERVICES LLC,Bessemer,AL,"{""19.1"": 1}"
AMAZON.COM SERVICES LLC,Huntsville,AL,"{""17.5"": 1}"
AMAZON.COM SERVICES LLC,Pinson,AL,"{""17.5"": 1, ""17.9"": 1}"
AMAZON.COM SERVICES LLC,Glendale Az,AZ,"{""17.4"": 1}"
AMAZON.COM SERVICES LLC,Mesa,AZ,"{""16.5"": 1}"
AMAZON.COM SERVICES LLC,Phoenix,AZ,"{""17.0"": 1, ""18.5"": 1, ""21.35"": 1}"
AMAZON.COM SERVICES LLC,Colton,CA,"{""18.75"": 1}"
AMAZON.COM SERVICES LLC,Corona,CA,"{""21.65"": 1}"
AMAZON.COM SERVICES LLC,Fontana,CA,"{""20.75"": 1}"
AMAZON.COM SERVICES LLC,Glendale,CA,"{""22.4"": 1}"
AMAZON.COM SERVICES LLC,Modesto,CA,"{""19.25"": 1}"
AMAZON.COM SERVICES LLC,Ontario,CA,"{""18.75"": 1}"
AMAZON.COM SERVICES LLC,Pinon Hills,CA,"{""23.15"": 1}"
AMAZON.COM SERVICES LLC,Colorado Springs,CO,"{""18.5"": 1}"
AMAZON.COM SERVICES LLC,Greeley,CO,"{""19.9"": 1}"
AMAZON.COM SERVICES LLC,Daytona Beach,FL,"{""17.5"": 1}"
AMAZON.COM SERVICES LLC,Jacksonville,FL,"{""17.4"": 1}"
AMAZON.COM SERVICES LLC,Camilla,GA,"{""16.5"": 1}"
AMAZON.COM SERVICES LLC,Covington,GA,"{""18.7"": 1}"
AMAZON.COM SERVICES LLC,Evans,GA,"{""20.1"": 1}"
AMAZON.COM SERVICES LLC,Hiram,GA,"{""17.8"": 1}"
AMAZON.COM SERVICES LLC,Marietta,GA,"{""21.1"": 1}"
AMAZON.COM SERVICES LLC,Mcdonough,GA,"{""30.0481"": 1}"
AMAZON.COM SERVICES LLC,Newnan,GA,"{""17.4"": 1}"
AMAZON.COM SERVICES LLC,Riverdale,GA,"{""22.1"": 1}"
AMAZON.COM SERVICES LLC,Aurora,IL,"{""20.3"": 1}"
AMAZON.COM SERVICES LLC,Chicago,IL,"{""19.5"": 1, ""20.5"": 1}"
AMAZON.COM SERVICES LLC,Joliet,IL,"{""19.5"": 1}"
AMAZON.COM SERVICES LLC,Lansing,IL,"{""19.0"": 1}"
AMAZON.COM SERVICES LLC,Rockford,IL,"{""22.4"": 1}"
AMAZON.COM SERVICES LLC,Hammond,IN,"{""19.0"": 1}"
AMAZON.COM SERVICES LLC,Huntington,IN,"{""19.9"": 1}"
AMAZON.COM SERVICES LLC,Indianapolis,IN,"{""19.25"": 2}"
AMAZON.COM SERVICES LLC,Ft. Mitchell,KY,"{""22.9"": 1}"
AMAZON.COM SERVICES LLC,Independence,KY,"{""21.3"": 1}"
AMAZON.COM SERVICES LLC,Radcliff,KY,"{""20.6"": 1, ""24.1"": 1}"
AMAZON.COM SERVICES LLC,Essex,MD,"{""42.0104"": 1}"
AMAZON.COM SERVICES LLC,Belleville,MI,"{""20.4"": 1}"
AMAZON.COM SERVICES LLC,Covert,MI,"{""20.9"": 1}"
AMAZON.COM SERVICES LLC,Farmington Hill,MI,"{""17.5"": 1}"
AMAZON.COM SERVICES LLC,Grand Rapids,MI,"{""19.05"": 1, ""20.55"": 1}"
AMAZON.COM SERVICES LLC,Kosciusko,MS,"{""18.0"": 1}"
AMAZON.COM SERVICES LLC,Burlington,NC,"{""16.5"": 1}"
AMAZON.COM SERVICES LLC,Charlotte,NC,"{""17.0"": 1, ""30.5775"": 1}"
AMAZON.COM SERVICES LLC,Fayetteville,NC,"{""17.4"": 1}"
AMAZON.COM SERVICES LLC,Willow Spring,NC,"{""19.4"": 1}"
AMAZON.COM SERVICES LLC,New Brunswick,NJ,"{""21.1"": 1}"
AMAZON.COM SERVICES LLC,South Bound Brook,NJ,"{""20.5"": 1}"
AMAZON.COM SERVICES LLC,Voorhees,NJ,"{""19.0"": 1}"
AMAZON.COM SERVICES LLC,Newburgh,NY,"{""19.5"": 1}"
AMAZON.COM SERVICES LLC,Cleveland,OH,"{""18.5"": 1}"
AMAZON.COM SERVICES LLC,Columbus,OH,"{""21.1"": 1}"
AMAZON.COM SERVICES LLC,Ravenna,OH,"{""18.7"": 1}"
AMAZON.COM SERVICES LLC,Oklahoma City,OK,"{""19.36"": 1}"
AMAZON.COM SERVICES LLC,Gresham,OR,"{""21.5"": 1, ""23.9"": 1}"
AMAZON.COM SERVICES LLC,Providence,RI,"{""20.5"": 1}"
AMAZON.COM SERVICES LLC,Columbia,SC,"{""16.5"": 1}"
AMAZON.COM SERVICES LLC,La Vergne,TN,"{""17.75"": 1}"
AMAZON.COM SERVICES LLC,Dallas,TX,"{""18.0"": 1}"
AMAZON.COM SERVICES LLC,El Paso,TX,"{""16.5"": 1}"
AMAZON.COM SERVICES LLC,Fort Worth,TX,"{""19.4"": 1}"
AMAZON.COM SERVICES LLC,Garland,TX,"{""18.5"": 1}"
AMAZON.COM SERVICES LLC,Houston,TX,"{""17.4"": 1}"
AMAZON.COM SERVICES LLC,New Braunfels,TX,"{""18.2"": 1}"
AMAZON.COM SERVICES LLC,San Antonio,TX,"{""16.5"": 1, ""18.0"": 1}"
AMAZON.COM SERVICES LLC,Henrico,VA,"{""18.0"": 1}"
AMAZON.COM SERVICES LLC,Newport News,VA,"{""17.8"": 1, ""38.5104"": 1}"
AMAZON.COM SERVICES LLC,North Chesterfield,VA,"{""20.9"": 1}"
AMAZON.COM SERVICES LLC,Richmond,VA,"{""18.0"": 1}"
AMAZON.COM SERVICES LLC,Des Moines,WA,"{""19.75"": 1}"
AMAZON.COM SERVICES LLC,Kaukauna,WI,"{""16.75"": 1}"
"AMAZON.COM SERVICES, LLC",Mesa,AZ,"{""16.5"": 1}"
"AMAZON.COM SERVICES, LLC",Barstow,CA,"{""20.25"": 1}"
"AMAZON.COM SERVICES, LLC",Sacramento,CA,"{""24.35"": 1}"
"AMAZON.COM SERVICES, LLC",Lake Wales,FL,"{""19.4"": 1}"
"AMAZON.COM SERVICES, LLC",Jonesboro,GA,"{""18.5"": 1}"
