employer_name,employee_city,employee_state,paystub_count,employer_address_counts,Unnamed: 5,regular_hourly_rate_parsed_counts
Starbucks Corporation,2650 N Grantland Ave Fresno,CA,1,"{""2401 Utah Ave South Seattle WA 98124-1067"": 1}",,"{""25.72"": 1}"
Starbucks Corporation,Baltimore,MD,1,"{""2401 Utah Ave South, Seattle, WA 98134"": 1}",,"{""20.0"": 1}"
Starbucks Corporation,Belleview,FL,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""16.5"": 1}"
Starbucks Corporation,Bronx,NY,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""30.05"": 1}"
Starbucks Corporation,Camp Verde,AZ,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""22.23"": 1}"
Starbucks Corporation,Carson City,NV,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,{}
Starbucks Corporation,Central,SC,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""15.25"": 1}"
Starbucks Corporation,Chantilly,VA,1,"{""2401 Utah Ave South, Seattle, WA 98134"": 1}",,"{""21.7"": 1}"
Starbucks Corporation,Chicago,IL,5,"{""2401 Utah Ave South, Seattle WA 98124-1067"": 1, ""2401 Utah Ave South, Seattle, WA 98124-1067"": 3, ""2401 Utah Ave South, Seattle, WA 98134"": 1}",,"{""17.25"": 2, ""23.01"": 1, ""24.65"": 1, ""24.94"": 1}"
Starbucks Corporation,Columbia,SC,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""19.37"": 1}"
Starbucks Corporation,Columbus,OH,2,"{""2401 Utah Ave South, Seattle WA 98124-1067"": 1, ""2401 Utah Ave South, Seattle, WA 98134"": 1}",,"{""15.75"": 1, ""21.63"": 1}"
Starbucks Corporation,Corsicana,TX,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""15.25"": 1}"
Starbucks Corporation,Danville,IN,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""19.62"": 1}"
Starbucks Corporation,Davie,FL,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""20.93"": 1}"
Starbucks Corporation,Flushing,NY,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,{}
Starbucks Corporation,Fontana,CA,1,"{""2401 Utah Ave South, Seattle, WA 98134"": 1}",,"{""21.26"": 1}"
Starbucks Corporation,Gahanna,OH,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""21.0"": 1}"
Starbucks Corporation,Giddings,TX,1,"{""2401 Utah Ave South, Seattle WA 98134"": 1}",,"{""15.25"": 1}"
Starbucks Corporation,Glen Burnie,MD,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""15.75"": 1}"
Starbucks Corporation,Indianapolis,IN,1,"{""2401 Utah Ave South, Seattle WA 98124-1067"": 1}",,"{""15.25"": 1}"
Starbucks Corporation,Indianpolis,IN,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""19.37"": 1}"
Starbucks Corporation,Irvine,CA,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""25.72"": 1}"
Starbucks Corporation,Irving,TX,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""15.91"": 1}"
Starbucks Corporation,Knoxville,TN,1,"{""2401 Utah Ave South, Seattle, WA 98134"": 1}",,"{""15.56"": 1}"
Starbucks Corporation,Lauderhill,FL,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""20.6"": 1}"
